Endpoint,Method,Lambda Function,Integration Type
/reports,GET,PodcastFlowPro-Reports,Lambda
/reports,POST,PodcastFlowPro-Reports,Lambda
/reports/{id},DELETE,PodcastFlowPro-Reports,Lambda
/reports/{id},GET,PodcastFlowPro-Reports,Lambda
/reports/{id},PUT,PodcastFlowPro-Reports,Lambda
/roles/permissions,GET,podcastflow-permissions,Lambda
/roles/{role}/permissions,GET,podcastflow-permissions,Lambda
/roles/{role}/permissions,PUT,podcastflow-permissions,Lambda
/shows,GET,PodcastFlowPro-Shows,Lambda
/shows,POST,PodcastFlowPro-Shows,Lambda
/shows/stats,GET,PodcastFlowPro-Shows,Lambda
/shows/{id},DELETE,PodcastFlowPro-Shows,Lambda
/shows/{id},GET,PodcastFlowPro-Shows,Lambda
/shows/{id},PUT,PodcastFlowPro-Shows,Lambda
/team,DELETE,PodcastFlowPro-Team,Lambda
/team,GET,PodcastFlowPro-Team,Lambda
/team,POST,PodcastFlowPro-Team,Lambda
/team,PUT,PodcastFlowPro-Team,Lambda
/user/preferences,GET,podcastflow-api-user,Lambda
/user/preferences,PUT,podcastflow-api-user,Lambda
/user/profile,GET,podcastflow-api-user,Lambda
/user/profile,PUT,podcastflow-api-user,Lambda
/users,GET,podcastflow-users,Lambda
/users,POST,podcastflow-users,Lambda
/users/{id},DELETE,podcastflow-users,Lambda
/users/{id},GET,podcastflow-users,Lambda
/users/{id},PUT,podcastflow-users,Lambda
/users/{id}/role,PUT,podcastflow-users,Lambda
/users/{id}/status,PUT,podcastflow-users,Lambda
/{id},DELETE,PodcastFlowPro-PodcastFlowPro-users,Lambda
/{id},GET,PodcastFlowPro-PodcastFlowPro-users,Lambda
/{id},PUT,PodcastFlowPro-PodcastFlowPro-users,Lambda
/{id}/role,PUT,PodcastFlowPro-PodcastFlowPro-users,Lambda
/{id}/status,PUT,PodcastFlowPro-PodcastFlowPro-users,Lambda
